{
  workday  Mon 2019-01-07,  0: 5100 gr | Standard | 1.00/km,
  workday  Mon 2019-01-07,  3: 5100 gr | Standard | 1.00/km,
  workday  Mon 2019-01-07,  5: 5100 gr | Standard | 1.00/km,
  workday  Mon 2019-01-07,  6: 5100 gr | Standard | 1.00/km,
  workday  Mon 2019-01-07,  7: 5100 gr | Standard | 1.00/km,
  workday  Mon 2019-01-07, 12: 5100 gr | Standard | 1.00/km,
  workday  Mon 2019-01-07, 17: 5100 gr | Standard | 1.00/km,
  workday  Mon 2019-01-07, 18: 5100 gr | Standard | 1.00/km,
  weekend  Fri 2019-01-11,  0: 5100 gr | Standard | 1.00/km,
  weekend  Fri 2019-01-11,  3: 5100 gr | Standard | 1.00/km,
  weekend  Fri 2019-01-11,  5: 5100 gr | Standard | 1.00/km,
  weekend  Fri 2019-01-11,  6: 5100 gr | Standard | 1.00/km,
  weekend  Fri 2019-01-11,  7: 5100 gr | Standard | 1.00/km,
  weekend  Fri 2019-01-11, 12: 5100 gr | Standard | 1.00/km,
  weekend  Fri 2019-01-11, 17: 11500 gr | Weekend+ | 2.50/km,
  weekend  Fri 2019-01-11, 18: 11500 gr | Weekend+ | 2.50/km,
  weekend  Sat 2019-01-12,  0: 11500 gr | Weekend+ | 2.50/km,
  weekend  Sat 2019-01-12,  3: 11500 gr | Weekend+ | 2.50/km,
  weekend  Sat 2019-01-12,  5: 11500 gr | Weekend+ | 2.50/km,
  weekend  Sat 2019-01-12,  6: 11500 gr | Weekend | 1.50/km,
  weekend  Sat 2019-01-12,  7: 7100 gr | Weekend | 1.50/km,
  weekend  Sat 2019-01-12, 12: 7100 gr | Weekend | 1.50/km,
  weekend  Sat 2019-01-12, 17: 11500 gr | Weekend+ | 2.50/km,
  weekend  Sat 2019-01-12, 18: 11500 gr | Weekend+ | 2.50/km,
  weekend  Sun 2019-01-13,  0: 11500 gr | Weekend+ | 2.50/km,
  weekend  Sun 2019-01-13,  3: 11500 gr | Weekend+ | 2.50/km,
  weekend  Sun 2019-01-13,  5: 11500 gr | Weekend+ | 2.50/km,
  weekend  Sun 2019-01-13,  6: 11500 gr | Weekend | 1.50/km,
  weekend  Sun 2019-01-13,  7: 7100 gr | Weekend | 1.50/km,
  weekend  Sun 2019-01-13, 12: 7100 gr | Weekend | 1.50/km,
  weekend  Sun 2019-01-13, 17: 7100 gr | Weekend | 1.50/km,
  weekend  Sun 2019-01-13, 18: 7100 gr | Weekend | 1.50/km,
  new year Tue 2019-12-31,  0: 15800 gr | Sylwester | 3.50/km,
  new year Tue 2019-12-31,  3: 15800 gr | Sylwester | 3.50/km,
  new year Tue 2019-12-31,  5: 15800 gr | Sylwester | 3.50/km,
  new year Tue 2019-12-31,  6: 15800 gr | Sylwester | 3.50/km,
  new year Tue 2019-12-31,  7: 15800 gr | Sylwester | 3.50/km,
  new year Tue 2019-12-31, 12: 15800 gr | Sylwester | 3.50/km,
  new year Tue 2019-12-31, 17: 15800 gr | Sylwester | 3.50/km,
  new year Tue 2019-12-31, 18: 15800 gr | Sylwester | 3.50/km,
  new year Wed 2020-01-01,  0: 15800 gr | Sylwester | 3.50/km,
  new year Wed 2020-01-01,  3: 15800 gr | Sylwester | 3.50/km,
  new year Wed 2020-01-01,  5: 15800 gr | Sylwester | 3.50/km,
  new year Wed 2020-01-01,  6: 15800 gr | Sylwester | 3.50/km,
  new year Wed 2020-01-01,  7: 5100 gr | Standard | 1.00/km,
  new year Wed 2020-01-01, 12: 5100 gr | Standard | 1.00/km,
  new year Wed 2020-01-01, 17: 5100 gr | Standard | 1.00/km,
  new year Wed 2020-01-01, 18: 5100 gr | Standard | 1.00/km,
  leap day Sat 2020-02-29,  0: 11500 gr | Weekend+ | 2.50/km,
  leap day Sat 2020-02-29,  3: 11500 gr | Weekend+ | 2.50/km,
  leap day Sat 2020-02-29,  5: 11500 gr | Weekend+ | 2.50/km,
  leap day Sat 2020-02-29,  6: 11500 gr | Weekend | 1.50/km,
  leap day Sat 2020-02-29,  7: 7100 gr | Weekend | 1.50/km,
  leap day Sat 2020-02-29, 12: 7100 gr | Weekend | 1.50/km,
  leap day Sat 2020-02-29, 17: 11500 gr | Weekend+ | 2.50/km,
  leap day Sat 2020-02-29, 18: 11500 gr | Weekend+ | 2.50/km,
  old list Fri 2018-06-15,  0: 5100 gr | Standard | 1.00/km,
  old list Fri 2018-06-15,  3: 5100 gr | Standard | 1.00/km,
  old list Fri 2018-06-15,  5: 5100 gr | Standard | 1.00/km,
  old list Fri 2018-06-15,  6: 5100 gr | Standard | 1.00/km,
  old list Fri 2018-06-15,  7: 5100 gr | Standard | 1.00/km,
  old list Fri 2018-06-15, 12: 5100 gr | Standard | 1.00/km,
  old list Fri 2018-06-15, 17: 5100 gr | Standard | 1.00/km,
  old list Fri 2018-06-15, 18: 5100 gr | Standard | 1.00/km,
  old list Mon 2018-12-31,  0: 5100 gr | Standard | 1.00/km,
  old list Mon 2018-12-31,  3: 5100 gr | Standard | 1.00/km,
  old list Mon 2018-12-31,  5: 5100 gr | Standard | 1.00/km,
  old list Mon 2018-12-31,  6: 5100 gr | Standard | 1.00/km,
  old list Mon 2018-12-31,  7: 5100 gr | Standard | 1.00/km,
  old list Mon 2018-12-31, 12: 5100 gr | Standard | 1.00/km,
  old list Mon 2018-12-31, 17: 5100 gr | Standard | 1.00/km,
  old list Mon 2018-12-31, 18: 5100 gr | Standard | 1.00/km
}
